str1,str2,date1,int1,float1,date2,str5,str6,str3,int2,float2,str4
,0003sKh9,1954-05-03,,,1953-07-08,,,,,,
BBBPO5RjelK,003FgT7O,1997-05-14,16,,1966-12-03,,,HLpCgRS8,67,,BBB
DDDDqgMgf6SK,003SSvjH,2012-06-22,87,-2.116,1984-10-09,,,SLaS4Xeo,,-5.896,DDD
DDDDL2fugRDl,00co1BrA,2013-04-16,99,7.612,1978-04-22,,,sJizJtJK,39,6.613,DDD
EEEkRkipZZy,00M3R0Cb,1977-01-18,61,-4.931,1996-08-09,,,1aWJNm8e,-27,7.69,EEE
DDDDvlaDYvI9,00nkntFJ,1967-11-22,33,5.034,1963-11-22,,,NY7CuGjZ,49,3.669,DDD
BBBLfIyPlEx,00QGZi60,1986-03-05,-73,-3.932,1998-03-05,,,q4YLfzWT,-1,4.071,BBB
EEEGO1KVyl4,00xD8FJA,1970-10-07,-33,-5.574,2007-11-13,,,viKbHgRO,16,-7.89,EEE
AAAPaKN6gvV,00xs8khJ,1989-12-18,-58,0.61,1982-09-22,,,RYxKNiZH,-5,3.988,AAA
CCi1lHwy0j,00ZGs7Co,1991-01-04,43,-5.022,1960-02-05,,,wmDJAl7r,33,1.896,CCi
EEECsa3EZh6,012brWwJ,2000-08-08,-64,-1.874,1963-06-04,,,TWXj5fG6,13,8.007,EEE
DDDDv80Ug0M7,012MNLoL,1960-06-19,-52,8.647,1999-08-26,,,qR3S3LIV,22,-5.076,DDD
HHH9QFmMoic,0176aw0l,1989-09-08,29,-5.36,1968-07-21,,,sZDMYq4k,-85,8.557,HHH
KKFnnmzhwf,01ab5kbI,1972-11-02,21,-4.786,1991-06-06,,,WkWnm1j4,-12,-3.802,KKF
LLLeDXjl8Ki,01BjrEtS,1955-11-15,85,9.339,1952-03-02,,,fpAGFJZx,60,-2.378,LLL
BBBBhkqmnWi,01ETDvXM,2012-05-27,25,-5.739,1961-05-03,,,lWkOoJhO,-6,3.777,BBB
HHHYhJ2r68P,01FrBFrN,1972-12-21,-92,-8.476,1962-04-07,,,3pFCbKHY,-65,-3.692,HHH
CCfSM0o53Y,01GNHPyE,1975-02-01,-16,-8.366,1960-05-11,,,R1tfx6iz,-93,-5.13,CCf
DDDDWSLlMfXO,01j7JjWH,1995-04-28,99,-6.359,1986-09-21,,,w7Yh08U8,31,-0.048,DDD
HHHnEj8rDKO,01Lejqje,1963-02-26,29,-6.156,1964-01-10,,,yFGfG4qv,-44,2.581,HHH
HHHXfmoqr0X,01oXgfk1,2007-04-25,37,-1.499,2009-01-24,,,2pFAtVq9,9,-1.795,HHH
BBB4KOrAABM,01qINmyV,1987-10-06,-52,9.856,1962-04-28,,,AZkMVD6h,-48,3.704,BBB
CCtlMStG1x,01tL8H9j,1999-12-19,-97,4.958,1961-01-26,,,FfCEAb6V,46,-8.678,CCt
AAAH7MN1bVk,01vkWHyg,1967-12-13,-94,6.22,2004-10-11,,,nK993W2e,-81,4.27,AAA
BBBzRMOkWyz,023NSqnn,2003-01-12,17,-5.816,1982-07-18,,,Kat4gi9M,-58,-8.17,BBB
AAAYltzyV2K,026A0A4l,1961-07-18,-87,1.402,1997-02-27,,,mC8qYskg,-22,8.368,AAA
EEER81bRDwE,02C6wFk3,2009-06-26,20,-8.406,2014-03-26,,,wwmNjhNr,38,3.241,EEE
LLL4tItmjQB,02EOeHHW,2007-02-08,65,-7.575,1982-08-24,,,mTj4Erf5,89,5.542,LLL
CCV4pV5Lhz,02GUQM1L,2011-12-31,18,-1.129,1972-01-01,,,y5D5F4j6,83,8.84,CCV
LLLSlFstfoJ,02i5Xlzv,1967-04-26,-53,-3.117,1997-03-14,,,zHMRaart,-5,-8.7,LLL
HHHaOcwpfMh,02plwsWH,1966-05-27,42,1.346,2001-07-01,,,AOR4wO5o,-3,-6.229,HHH
CCv7riiG3X,02RoGssb,2002-05-10,-89,-1.481,1975-12-01,,,EyyuRCtc,14,1.759,CCv
DDDDqXuxflG5,02SLYLLa,1993-03-13,-79,2.269,1988-06-12,,,ccEVSRhs,92,4.108,DDD
DDDDV3XaX1cI,02SN4uNG,1956-10-10,35,2.886,1976-04-13,,,c3CwB5v8,13,-2.303,DDD
